id,period,name,value,end_time,title,description
217328504988428/insights/page_daily_follows_unique/week,week,page_daily_follows_unique,246,2021-01-02T08:00:00+0000,Weekly New Follows,Weekly: The number of new people who have followed your Page (Unique Users)
217328504988428/insights/page_total_actions/days_28,days_28,page_total_actions,13,2021-01-01T08:00:00+0000,28 Days Total: total action count per Page,28 Days: The number of clicks on your Page's contact info and call-to-action button.
217328504988428/insights/page_total_actions/days_28,days_28,page_total_actions,13,2021-01-02T08:00:00+0000,28 Days Total: total action count per Page,28 Days: The number of clicks on your Page's contact info and call-to-action button.
217328504988428/insights/page_views_total/days_28,days_28,page_views_total,2844,2021-01-01T08:00:00+0000,28 Days Total views count per Page,28 Days: Total views count per Page
217328504988428/insights/page_views_total/days_28,days_28,page_views_total,2941,2021-01-02T08:00:00+0000,28 Days Total views count per Page,28 Days: Total views count per Page
217328504988428/insights/page_preview_total/days_28,days_28,page_preview_total,0,2021-01-01T08:00:00+0000,Monthly total number of Page Previews,Monthly total number of Previews seen on the Page.
217328504988428/insights/page_preview_total/days_28,days_28,page_preview_total,0,2021-01-02T08:00:00+0000,Monthly total number of Page Previews,Monthly total number of Previews seen on the Page.
217328504988428/insights/page_fan_adds_unique/days_28,days_28,page_fan_adds_unique,620,2021-01-01T08:00:00+0000,28 Days New likes,28 Days: The number of new people who have liked your Page (Unique Users)
217328504988428/insights/page_fan_adds_unique/days_28,days_28,page_fan_adds_unique,657,2021-01-02T08:00:00+0000,28 Days New likes,28 Days: The number of new people who have liked your Page (Unique Users)
217328504988428/insights/page_impressions_unique/days_28,days_28,page_impressions_unique,86534,2021-01-01T08:00:00+0000,28 Days Total Reach,"28 Days: The number of people who had any content from your Page or about your Page enter their screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more. (Unique Users)"
217328504988428/insights/page_impressions_unique/days_28,days_28,page_impressions_unique,90996,2021-01-02T08:00:00+0000,28 Days Total Reach,"28 Days: The number of people who had any content from your Page or about your Page enter their screen. This includes posts, check-ins, ads, social information from people who interact with your Page and more. (Unique Users)"
217328504988428/insights/page_post_engagements/days_28,days_28,page_post_engagements,21295,2021-01-01T08:00:00+0000,28 Days Post Engagements,"28 Days: The number of times people have engaged with your posts through like, comments and shares and more."
217328504988428/insights/page_post_engagements/days_28,days_28,page_post_engagements,22790,2021-01-02T08:00:00+0000,28 Days Post Engagements,"28 Days: The number of times people have engaged with your posts through like, comments and shares and more."
217328504988428/insights/page_video_views/days_28,days_28,page_video_views,21690,2021-01-01T08:00:00+0000,28 Days Total Video Views,28 Days: Total number of times videos have been viewed for more than 3 seconds. (Total Count)
217328504988428/insights/page_video_views/days_28,days_28,page_video_views,22078,2021-01-02T08:00:00+0000,28 Days Total Video Views,28 Days: Total number of times videos have been viewed for more than 3 seconds. (Total Count)
217328504988428/insights/page_daily_follows_unique/days_28,days_28,page_daily_follows_unique,699,2021-01-01T08:00:00+0000,28 days New Follows,28 days: The number of new people who have followed your Page (Unique Users)
217328504988428/insights/page_daily_follows_unique/days_28,days_28,page_daily_follows_unique,737,2021-01-02T08:00:00+0000,28 days New Follows,28 days: The number of new people who have followed your Page (Unique Users)
